Loaded project: 白色孤岛
Trial entry: Start 3,3 -> 试炼间 -> A1 6,11
Auto features: pickup=on, battle=on
Goal: win event; topK=1; maxExpansions=2000
Perf live: {"expandedPerSec":2.98,"generatedPerSec":22.22,"applyActionMsPerAction":1.146,"enumerateActionsMsPerState":143.9299,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2373,"rssMb":258.8,"heapUsedMb":64.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.98,"generatedPerSec":22.22,"applyActionMsPerAction":1.1513,"enumerateActionsMsPerState":144.2294,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2373,"rssMb":258.9,"heapUsedMb":79,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.19,"applyActionMsPerAction":1.1574,"enumerateActionsMsPerState":144.5118,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0055,"sortMsPerLoop":0.2394,"rssMb":259.1,"heapUsedMb":52.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.23,"applyActionMsPerAction":1.1575,"enumerateActionsMsPerState":144.4602,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2394,"rssMb":257.6,"heapUsedMb":34.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.29,"applyActionMsPerAction":1.1599,"enumerateActionsMsPerState":144.4456,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2408,"rssMb":260.1,"heapUsedMb":46.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.36,"applyActionMsPerAction":1.1584,"enumerateActionsMsPerState":144.425,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2408,"rssMb":259.8,"heapUsedMb":52,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.39,"applyActionMsPerAction":1.1582,"enumerateActionsMsPerState":144.3774,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2409,"rssMb":259.8,"heapUsedMb":60.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.98,"generatedPerSec":22.43,"applyActionMsPerAction":1.1598,"enumerateActionsMsPerState":144.3666,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2409,"rssMb":258.1,"heapUsedMb":57.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.98,"generatedPerSec":22.53,"applyActionMsPerAction":1.1584,"enumerateActionsMsPerState":144.3389,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2422,"rssMb":258.8,"heapUsedMb":26.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3,"generatedPerSec":22.53,"applyActionMsPerAction":1.169,"enumerateActionsMsPerState":143.8329,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2422,"rssMb":258.4,"heapUsedMb":74.7,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.02,"generatedPerSec":22.5,"applyActionMsPerAction":1.1803,"enumerateActionsMsPerState":143.2178,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2449,"rssMb":259.8,"heapUsedMb":66.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.05,"generatedPerSec":22.46,"applyActionMsPerAction":1.1914,"enumerateActionsMsPerState":142.5897,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2462,"rssMb":258.6,"heapUsedMb":95.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.06,"generatedPerSec":22.44,"applyActionMsPerAction":1.2019,"enumerateActionsMsPerState":142.1302,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2471,"rssMb":259.1,"heapUsedMb":82.4,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.07,"generatedPerSec":22.45,"applyActionMsPerAction":1.2109,"enumerateActionsMsPerState":141.7675,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2471,"rssMb":259,"heapUsedMb":159.2,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.08,"generatedPerSec":22.45,"applyActionMsPerAction":1.2205,"enumerateActionsMsPerState":141.4223,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2483,"rssMb":306.1,"heapUsedMb":219.1,"eventLoopUtilization":0}
